Address,Varies,P1,P2,P3,P4,P5,P6,P7,P8
0x0002,No,0x53,0x53,0x53,0x53,0x53,0x53,0x53,0x53
0x0003,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0004,No,0x20,0x20,0x20,0x20,0x20,0x20,0x20,0x20
0x0007,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x000F,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0010,No,0x0F,0x0F,0x0F,0x0F,0x0F,0x0F,0x0F,0x0F
0x0011,No,0x0F,0x0F,0x0F,0x0F,0x0F,0x0F,0x0F,0x0F
0x0012,No,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C
0x0013,No,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C
0x0014,No,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C
0x0015,No,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C
0x0016,No,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C
0x0017,No,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C,0x8C
0x001A,Yes,0x00,0x30,0x13,0x00,0x00,0x00,0x00,0x00
0x001B,Yes,0x19,0xD4,0x88,0x19,0x05,0x19,0x01,0x19
0x001C,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x001D,Yes,0x0F,0x0F,0x0F,0x0F,0x0E,0x0F,0x10,0x0F
0x001E,Yes,0xEB,0xD9,0xE1,0xA3,0xCC,0xF5,0x00,0xD1
0x001F,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0020,Yes,0x00,0x12,0x12,0x00,0x00,0x00,0x00,0x00
0x0021,Yes,0x0D,0xCC,0xF8,0x15,0x04,0x13,0x00,0x17
0x002A,Yes,0x03,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x002B,Yes,0xEF,0x04,0x04,0x04,0x02,0x01,0x01,0x04
0x002C,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x002D,Yes,0x06,0x05,0x04,0x04,0x03,0x03,0x04,0x02
0x002E,Yes,0xE5,0xE0,0xE0,0x20,0x40,0x00,0x00,0x20
0x002F,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0030,Yes,0x03,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0031,Yes,0x35,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0032,Yes,0x00,0x0F,0x2B,0x00,0x00,0x00,0x00,0x00
0x0033,Yes,0x01,0xA0,0xC0,0x04,0x01,0x1C,0x0E,0x38
0x0034,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0035,Yes,0x06,0x05,0x05,0x05,0x05,0x06,0x06,0x05
0x0036,Yes,0x00,0xF7,0xFB,0xE0,0x80,0x04,0x09,0xF4
0x0037,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0038,Yes,0x00,0x0E,0x20,0x00,0x00,0x00,0x00,0x00
0x0039,Yes,0x00,0x20,0x40,0x00,0x00,0x10,0x02,0x20
0x005A,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x005B,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0095,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0096,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0097,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0098,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x0099,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x009A,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x009B,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00A2,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00A3,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00A4,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00A5,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00A6,No,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00B7,No,0x92,0x92,0x92,0x92,0x92,0x92,0x92,0x92
