Location,Setting,Varies,P1,P2,P3,P4,P5,P6,P7,P8
0x0002[3],XO_LOS_MASK,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0002[4],CLK_LOS_MASK,No,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
0x0002[5],LOL_A_MASK,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0002[6],LOL_B_MASK,No,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
0x0002[7],SYS_INIT_MASK,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0003[7:0],CLK_OEB,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0004[4],DIS_RESET_LOLA,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0004[5],DIS_RESET_LOLB,No,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
0x0007[7:4],I2C_ADDR_CTRL,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x000F[2],PLLA_SRC,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x000F[3],PLLB_SRC,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x000F[4],PLLA_INSELB,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x000F[5],PLLB_INSELB,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x000F[7:6],CLKIN_DIV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0010[1:0],CLK0_IDRV,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0010[3:2],CLK0_SRC,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0010[4],CLK0_INV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0010[5],MS0_SRC,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0010[6],MS0_INT,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0010[7],CLK0_PDN,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0011[1:0],CLK1_IDRV,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0011[3:2],CLK1_SRC,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0011[4],CLK1_INV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0011[5],MS1_SRC,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0011[6],MS1_INT,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0011[7],CLK1_PDN,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0012[1:0],CLK2_IDRV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0012[3:2],CLK2_SRC,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0012[4],CLK2_INV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0012[5],MS2_SRC,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0012[6],MS2_INT,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0012[7],CLK2_PDN,No,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
0x0013[1:0],CLK3_IDRV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0013[3:2],CLK3_SRC,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0013[4],CLK3_INV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0013[5],MS3_SRC,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0013[6],MS3_INT,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0013[7],CLK3_PDN,No,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
0x0014[1:0],CLK4_IDRV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x0014[3:2],CLK4_SRC,No,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3
0x0014[4],CLK4_INV,No,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
